"Story","Title","Result","Date","Stability","Duration (s)"
"Invitation People","Search people name with null character","SUCCESS","2022-10-20T11:40:26.9253787+07:00[Asia/Bangkok]","0.0","0.17"
"Invitation People","Search people name with one character","SUCCESS","2022-10-20T11:40:27.1083763+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with a name","SUCCESS","2022-10-20T11:40:27.1381044+07:00[Asia/Bangkok]","0.0","0.03"
"Invitation People","Search people name with symbol","SUCCESS","2022-10-20T11:40:27.1711742+07:00[Asia/Bangkok]","0.0","0.03"
"Invitation People","Search people name with a full name","SUCCESS","2022-10-20T11:40:27.2137786+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with my contact","SUCCESS","2022-10-20T11:40:27.2354969+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with event","SUCCESS","2022-10-20T11:40:27.2548376+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with conections","SUCCESS","2022-10-20T11:40:27.2794584+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with people i follow","SUCCESS","2022-10-20T11:40:27.3055064+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with pages","SUCCESS","2022-10-20T11:40:27.3280296+07:00[Asia/Bangkok]","0.0","0.02"
"Invitation People","Search people name with hastag","SUCCESS","2022-10-20T11:40:27.3519496+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with name company","SUCCESS","2022-10-20T11:40:27.3940525+07:00[Asia/Bangkok]","0.0","0.07"
"Search job","Search job with specification job","SUCCESS","2022-10-20T11:40:27.4673422+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with one character","SUCCESS","2022-10-20T11:40:27.5005046+07:00[Asia/Bangkok]","0.0","0.03"
"Search job","Search job with number","SUCCESS","2022-10-20T11:40:27.5391454+07:00[Asia/Bangkok]","0.0","0.03"
"Search job","Search job with null","SUCCESS","2022-10-20T11:40:27.586527+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with symbol","SUCCESS","2022-10-20T11:40:27.6046826+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with initial skill","SUCCESS","2022-10-20T11:40:27.6333793+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with Suggested job searches","SUCCESS","2022-10-20T11:40:27.651828+07:00[Asia/Bangkok]","0.0","0.03"
"Search job","Search job with salary","SUCCESS","2022-10-20T11:40:27.6813366+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with skill assigment","SUCCESS","2022-10-20T11:40:27.695047+07:00[Asia/Bangkok]","0.0","0.02"
"Search job","Search job with my job","SUCCESS","2022-10-20T11:40:27.7188566+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with interview prep","SUCCESS","2022-10-20T11:40:27.7499831+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with alerts","SUCCESS","2022-10-20T11:40:27.7653891+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with resume builder","SUCCESS","2022-10-20T11:40:27.7796448+07:00[Asia/Bangkok]","0.0","0.01"
"Search job","Search job with job seeker guidance","SUCCESS","2022-10-20T11:40:27.7955014+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with number phone and password valid","SUCCESS","2022-10-20T11:40:27.8851707+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with one character email and password","SUCCESS","2022-10-20T11:40:27.897909+07:00[Asia/Bangkok]","0.0","0.0"
"Sign in","Sign in with symbol in email and password","SUCCESS","2022-10-20T11:40:27.9059088+07:00[Asia/Bangkok]","0.0","0.02"
"Sign in","Sign in with null email and null password","SUCCESS","2022-10-20T11:40:27.9282517+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with email valid and password valid","SUCCESS","2022-10-20T11:40:27.9452611+07:00[Asia/Bangkok]","0.0","0.02"
"Sign in","Sign in with email valid and password invalid","SUCCESS","2022-10-20T11:40:27.9650513+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with email invalid and password valid","SUCCESS","2022-10-20T11:40:27.9886962+07:00[Asia/Bangkok]","0.0","0.02"
"Sign in","Sign in with google account","SUCCESS","2022-10-20T11:40:28.0141302+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with Looking to create a page for a business?","SUCCESS","2022-10-20T11:40:28.0311098+07:00[Asia/Bangkok]","0.0","0.02"
"Sign in","Sign in with email valid and password valid, show password","SUCCESS","2022-10-20T11:40:28.0659112+07:00[Asia/Bangkok]","0.0","0.01"
"Sign in","Sign in with email valid and password valid, not show password","SUCCESS","2022-10-20T11:40:28.0825719+07:00[Asia/Bangkok]","0.0","0.01"
